epoch,lr,train_loss,train_velocity_loss,train_residual_loss,train_gate_mean,val_loss,val_velocity_loss,val_residual_loss,val_gate_mean
1,0.001,1.323002780305928,1.0920383567953933,1.1191784282182824,0.7128733062538607,0.913540297963967,0.7522840332511502,0.7714552518911659,0.6965219875176748
2,0.001,1.1699775149082314,0.9697814527256735,0.9606243605757582,0.807118658875597,0.9495657395261029,0.766749951763389,0.8731108592357486,0.8193631331125896
3,0.001,1.1223081489061486,0.9338386315723946,0.9010550646946348,0.8258509661616951,0.9564624357968569,0.7708765315590427,0.8857737534369031,0.843114455540975
4,0.001,1.067890547472855,0.8927298396311957,0.8355387066458834,0.8052962566244191,0.9626621153516074,0.7743479953205679,0.9013121176045388,0.8051715463399887
5,0.001,1.0341993652541062,0.8684564553971948,0.788398862398904,0.806314130795413,0.9567896279816827,0.7728125842676188,0.8794381865610679,0.8089412341515223
6,0.001,0.990054993729653,0.8319277709414219,0.7503897589470806,0.8049268717395848,0.9337515441700817,0.751840410742443,0.8703156025459369,0.7848007341225942
7,0.001,0.9731645865430092,0.8202156697496258,0.726525684176334,0.7643779428868458,0.9114586910853784,0.7415468517108821,0.8121663335089883,0.7478551536798477
8,0.001,0.9529303227519167,0.8042911609698986,0.7052148585689479,0.7596185793136728,0.9279387571848929,0.7481833421004315,0.8603687228169292,0.7681663225094477
9,0.001,0.9409049692852743,0.79541155413307,0.6898499968750723,0.7523409585500586,0.8859986636942874,0.7233543723006732,0.7774955251409362,0.7145167390505472
10,0.001,0.9317684358563917,0.7909718299734181,0.666407458998006,0.7515121307866327,0.8827267408836633,0.7165508048298458,0.795284825443135,0.7118975008527438
11,0.001,0.9133716238469913,0.7763049152904543,0.6484212901057869,0.7382446491512759,0.9138919732611005,0.7373441620303007,0.8493063250401368,0.6686553552746772
12,0.001,0.8973160522251293,0.7642946569570179,0.6288119287326418,0.7259003997876726,0.890122968951861,0.7182795264447729,0.822782882132257,0.7286850869655609
13,0.001,0.8820828769741387,0.7529299901477222,0.6099644249369358,0.716000156155948,0.8997698002184431,0.7260771203747329,0.8362599570925037,0.6440691339472929
14,0.001,0.8775932118296623,0.7495522840783514,0.604408231274835,0.7159281301087347,0.8991873893886805,0.7222305274102837,0.8482767200097442,0.7301497360070547
15,0.001,0.8648245191394255,0.738788680590946,0.5943777489251104,0.7160285315636931,0.8837608054590722,0.7137737638006608,0.816123049457868,0.6762433434526126
16,0.001,0.851043596092997,0.7301415099666037,0.5692974015556532,0.7042608523163302,0.8796861329426368,0.7135573729494353,0.799966956799229,0.6135378407003979
17,0.001,0.8473300802810438,0.730023210675552,0.5519231096680822,0.6922248971873316,0.8796939980471506,0.7126856867728445,0.8055543240314971,0.5897441487759352
18,0.001,0.8429178441392964,0.7241725023707439,0.559176373969892,0.6910063403433767,0.8829542441836868,0.7140212812567673,0.816730599051031,0.5586842237195621
19,0.001,0.8356578694335346,0.7185705430034933,0.5511382739862491,0.6859672768362637,0.8924411181127653,0.7146805817843415,0.8547750282101333,0.6805525958538056
20,0.001,0.8309513448641218,0.7165387626095064,0.5373819327816881,0.6936198837798218,0.8872735964367167,0.7183617149305064,0.8147120551671833,0.596947678232876
21,0.001,0.8164807814976265,0.7039017738967106,0.52837734065693,0.690354336952341,0.9059115546289831,0.7266815390816191,0.8678745683903496,0.5655092207559694
22,0.0005,0.8105709396045784,0.7008535551099941,0.5140297389749823,0.6911436555714443,0.9081431445588047,0.7217855790047907,0.8993993152398616,0.6477694898533325
23,0.0005,0.787548852634841,0.6846727060860601,0.4804398746326052,0.6788172351902929,0.907128480868414,0.7223885477675746,0.8942036610562354,0.5899195849274596
24,0.0005,0.78394272589478,0.6825031483995503,0.47367968680015926,0.6703642884205128,0.9266014515810336,0.7311341234172384,0.9456972079972427,0.6327895687893033
25,0.0005,0.7819514752461992,0.6821816561037096,0.4644285584318227,0.6884104095656296,0.9265485130948946,0.7347126059049818,0.9308325998019427,0.566939007739226
26,0.0005,0.7770982865115692,0.6802941946120098,0.45049426730336817,0.6705239127422201,0.9393858131874974,0.7425651333993301,0.9550220592568318,0.581625481074055
27,0.0005,0.7757838062685112,0.6788053822157711,0.4506700789106303,0.6844402253627777,0.938835110833558,0.7391526046199336,0.9676861737544338,0.6145263812815149
28,0.00025,0.7754687607802194,0.6777365731781927,0.45506065004858476,0.6720059904558905,0.938143284083344,0.74028533596138,0.9585259062548478,0.6152766036490599
29,0.00025,0.7534205790223747,0.6609960090497444,0.42840616405010223,0.67433362300026,0.9478973236090193,0.7443001204791169,0.9873634379357099,0.6124505572021007
30,0.00025,0.7620167958325353,0.669480616933313,0.42894600421704093,0.6746977485459427,0.9469316398259252,0.7450216805019105,0.9799187655560673,0.5926214013248682
31,0.00025,0.7418219665515011,0.6536783572157909,0.4070732221007347,0.6728969504093302,0.9568021007658293,0.7460349368228587,1.0241041734814644,0.5946327139313022
