run_name,terrain_name,maneuver_name,n_samples,odom_traj_rmse_m,corrected_traj_rmse_m,traj_rmse_improvement_percent,traj_rmse_delta_m,traj_improved,odom_final_error_m,corrected_final_error_m,final_error_improvement_percent,final_error_delta_m,cnn_final_minus_odom_final_m,final_position_improved,odom_max_position_error_m,corrected_max_position_error_m,max_position_error_improvement_percent,max_position_error_delta_m,max_position_improved,odom_final_yaw_error_deg,corrected_final_yaw_error_deg,final_yaw_error_improvement_deg,final_yaw_error_improvement_percent,mean_gate_vx,mean_gate_vy,mean_applied_alpha_vx,mean_applied_alpha_vy
concrete_concrete_circle,other,circle,1712,0.38516591128488925,0.23083163966525155,40.069556286741026,0.1543342716196377,True,0.38006436187678694,0.2853422759883637,24.92264347561511,0.09472208588842324,-0.09472208588842324,True,0.5688933306286194,0.30901960694981423,45.680571328134256,0.2598737236788051,True,8.824561483886287,2.2945883726992644,6.529973111187022,73.99770655018723,0.5037656426429749,0.6456306576728821,0.2418075054883957,0.30990272760391235
rubber_rubber_circle,other,circle,1651,0.36582422052069935,0.24631761902578125,32.6677663181561,0.1195066014949181,True,0.43811332436335837,0.247424100560847,43.52509115754702,0.19068922380251138,-0.19068922380251138,True,0.5285190668076357,0.3505659371484119,33.67014377250332,0.17795312965922383,True,12.608569997216607,2.7382954867958365,9.87027451042077,78.28226763700938,0.5097500085830688,0.646984338760376,0.2446800023317337,0.3105525076389313
concrete_concrete_long_s_turn,other,s_turn,899,0.523772393725831,0.36975662875413184,29.405094047839178,0.1540157649716991,True,0.7532323705135056,0.5086621596351262,32.46942383950481,0.24457021087837938,-0.24457021087837938,True,0.7559813100592242,0.5087955138544367,32.69734223792157,0.24718579620478753,True,2.5077180924973557,4.345212483472207,-1.8374943909748516,-73.27356278492013,0.4733690619468689,0.615533709526062,0.22721712291240692,0.295456200838089
rubber_rubber_s_turn,other,s_turn,635,0.41109316278107094,0.30267287410714677,26.373654074043493,0.10842028867392417,True,0.567403488939943,0.3834484987128241,32.420489794800964,0.18395499022711886,-0.18395499022711886,True,0.5718144849811941,0.3834862244486788,32.93520284620091,0.18832826053251533,True,4.477177536716958,4.431601782249841,0.04557575446711759,1.0179572753895652,0.46432390809059143,0.6040376424789429,0.2228754758834839,0.2899380922317505
concrete_concrete_sideways_square,other,sideways_square,1033,0.23439117070553478,0.18969339790043757,19.069734013680467,0.04469777280509721,True,0.11055058316879658,0.13689905297910673,-23.833858723367758,-0.02634846981031015,0.02634846981031015,False,0.31846707535248386,0.2455022175900659,22.911271967960715,0.07296485776241796,True,1.9875421190693103,11.428351116090521,-9.440808997021211,-474.99919153622665,0.0009436930995434523,0.6246614456176758,0.00045297268661670387,0.29983747005462646
rocky_rocky_sideways_pebbles,rocky,sideways,800,2.329028082174096,2.4413061244977263,-4.820811014817013,-0.11227804232363026,False,2.6317886147735514,3.1327726788663726,-19.0358777783499,-0.5009840640928211,0.5009840640928211,False,3.5767550223584537,4.113293985946667,-15.000718814519995,-0.5365389635882134,False,114.91293301049186,117.3946240915989,-2.4816910811070443,-2.1596273074680457,0.7017075419425964,0.9964895844459534,0.3368196189403534,0.4783150553703308
rocky_rocky_sideways_stones,rocky,sideways,986,0.646928708099448,0.8445993895333286,-30.555249590731403,-0.19767068143388056,False,0.4199510196715481,0.083846227082947,80.03428420092304,0.33610479258860104,-0.33610479258860104,True,1.2938953075008854,1.5218272781199116,-17.61595156097049,-0.22793197061902615,False,11.048723604509238,14.941384495794598,-3.8926608912853595,-35.23177002723351,0.7636915445327759,0.9654277563095093,0.36657196283340454,0.4634053111076355
slippery_slippery_m,slippery,m_path,1064,0.5492904080513795,0.3762842588628146,31.496298980043772,0.17300614918856494,True,0.818073540769271,0.6187429784283932,24.365848839633458,0.19933056234087776,-0.19933056234087776,True,0.9097679611998813,0.6514717937974437,28.39143368620875,0.25829616740243766,True,0.6534951358006655,8.0728755456095,-7.419380409808835,-1135.3382761936816,0.8806684613227844,0.957814633846283,0.42272084951400757,0.4597510099411011
misc_concrete_slippery_rectangle,slippery,rectangle,1068,0.3977554698031375,0.37035024965923374,6.889966882785418,0.02740522014390373,True,0.0326402975715966,0.14731132679394188,-351.3173523336115,-0.11467102922234527,0.11467102922234527,False,0.7138098183416122,0.6335212302344495,11.247896294519512,0.08028858810716266,True,12.087384882684683,15.237186471111226,-3.149801588426543,-26.058586029958143,0.48405200242996216,0.7425617575645447,0.23234495520591736,0.3564296364784241
slippery_slippery_s_turn,slippery,s_turn,602,0.39715426523819397,0.46720777673691966,-17.638866715106527,-0.07005351149872568,False,0.5461335625668549,0.8205071976562613,-50.23929197829131,-0.2743736350894065,0.2743736350894065,False,0.9275392557235785,0.9088458078239336,2.015380781383967,0.01869344789964489,True,9.354489979270413,11.450538490153313,-2.0960485108829,-22.406871091077676,0.9657341241836548,0.9910868406295776,0.463552325963974,0.47572168707847595
slippery_slippery_sideways_square,slippery,sideways_square,1258,0.22079625651559043,0.33547090208511887,-51.93686133054129,-0.11467464556952844,False,0.33476797832376876,0.48160187037764235,-43.86139104136899,-0.1468338920538736,0.1468338920538736,False,0.516317534483844,0.6251653884502346,-21.081572229617272,-0.10884785396639063,False,1.3117007364546114,14.418794386483585,-13.107093650028974,-999.2442091216678,0.2999647855758667,0.8095356822013855,0.14398309588432312,0.3885771334171295
slippery_slippery_square,slippery,square,1253,0.623976987384523,0.8796710493175566,-40.97812372933928,-0.25569406193303357,False,0.6530595101385032,1.1833087656260437,-81.19463039058775,-0.5302492554875405,0.5302492554875405,False,1.4302613350676274,1.4410126905193799,-0.7517056630244481,-0.010751355451752431,False,6.474694428713266,17.193601859367874,-10.718907430654607,-165.55078465355166,0.7985059022903442,0.9470962882041931,0.3832828402519226,0.45460620522499084
watery_watery_m,watery,m_path,1087,0.35620693761270605,0.3902109751889097,-9.54614691226909,-0.03400403757620363,False,0.3879465252677362,0.5184486778418729,-33.63921161146432,-0.13050215257413667,0.13050215257413667,False,0.6777062202028893,0.6053680286768253,10.673974853647895,0.07233819152606402,True,11.850479726454425,10.22441542722259,1.6260642992318353,13.721506105798314,0.3783130645751953,0.6404239535331726,0.1815902590751648,0.30740347504615784
whiteboard_white_board_s_turn,whiteboard,s_turn,688,0.39492031813020184,0.25585365441457353,35.21385386653599,0.1390666637156283,True,0.573274844807004,0.34478533579464576,39.85688733460482,0.2284895090123582,-0.2284895090123582,True,0.576863304135944,0.3455016567940698,40.10684085520395,0.2313616473418742,True,2.878211264965012,6.5569190423972055,-3.6787077774321935,-127.81229169002339,0.5022943615913391,0.589621365070343,0.24110127985477448,0.28301823139190674
