epoch,lr,train_loss,train_velocity_loss,train_residual_loss,train_gate_mean,val_loss,val_velocity_loss,val_residual_loss,val_gate_mean
1,0.001,0.3461009052162077,0.31344113542753105,0.3233628432248153,0.646969875868629,0.38342100457521155,0.34762239082483576,0.3546049833064899,0.6762330263853074
2,0.001,0.28566864541932646,0.259148014672831,0.26140563058502536,0.7601344240646736,0.36918462845496836,0.3347555993874266,0.3409688579849899,0.6642909198999405
3,0.001,0.25389683480356257,0.23063416611038,0.22878985377211197,0.767368731545467,0.37257386485580357,0.33722446160390973,0.349582162220031,0.782382246851921
4,0.001,0.2283061127744469,0.20746962214801826,0.20436655759227043,0.7996722091646755,0.3489381315448554,0.3162338636102504,0.3233011135365814,0.7482995316386223
5,0.001,0.21187678856008194,0.1925623372343241,0.18915645296082778,0.7976108450515598,0.31985562828485853,0.28967148983865626,0.2981037063756958,0.7475494056940079
6,0.001,0.1971433424920428,0.17929879166916304,0.17445046381623136,0.7990086487695283,0.3197878801613115,0.2900121798098553,0.2939142732298933,0.7685553200542927
7,0.001,0.18722906884025126,0.17033940097134487,0.1648041542400332,0.8185047296916738,0.33108178728143683,0.30021235605381663,0.3052120915381238,0.6964423470199108
8,0.001,0.18226049336440422,0.16586927624017583,0.15983255507022726,0.8159240589422339,0.32176542513770984,0.2913529977959115,0.3003359745023772,0.7576611161231994
9,0.001,0.17623069268815658,0.16039713545172823,0.15429198420515247,0.8087195718989653,0.3229009071656037,0.29233408676227557,0.3017740205861628,0.7788422159850598
10,0.001,0.1699351284141634,0.15480845801386178,0.1471233025339304,0.8286787762361414,0.3246908905450255,0.2937412691069767,0.3056689412333071,0.7654466539621353
11,0.001,0.16476532663492596,0.15001539951738188,0.14340209369273746,0.8194356677578944,0.322335018980084,0.29138649969827385,0.30598617882933465,0.6998036719858647
12,0.001,0.16109601269457854,0.14686330422466876,0.13817961126858114,0.8294944137919182,0.31306585018173794,0.2833603575185407,0.29333564839325843,0.7438562773168087
13,0.001,0.15833493833448373,0.14427914236690484,0.13648916810166603,0.813759154548832,0.32149260759470055,0.2909155562258093,0.30206135913031174,0.7418246276676654
14,0.001,0.15762344287598834,0.1437554853950061,0.1345892865575996,0.8180569159049614,0.3145870752516203,0.28525059451931156,0.2896620553219691,0.7405570097267627
15,0.001,0.1529093283210315,0.1395867020622188,0.12911944124190247,0.8213643554378959,0.3176259238854982,0.28791963870753534,0.2933494114084169,0.7426849737763405
16,0.001,0.14620223999315618,0.13362220733189115,0.12172487290466533,0.8150923778029049,0.3370457562210504,0.3049097505660029,0.3176423613913357,0.7435307636857033
17,0.001,0.14360294607924481,0.131262629749436,0.11923028842783441,0.8345756723600275,0.3276049765059724,0.29607453951175555,0.3115610116394237,0.7486635774374009
18,0.0005,0.14155383619899845,0.1291746352890543,0.11970846942972903,0.8167077373055851,0.3279793223016895,0.2968050601783034,0.3080917486688122,0.7301716864109039
19,0.0005,0.13269945665025243,0.12140965797737532,0.10880479245793585,0.8186387127520991,0.33569598554749974,0.30343201470386705,0.3189038557233289,0.747175381705165
20,0.0005,0.12737562270908087,0.11655065628206905,0.10414163976469461,0.8216056899697173,0.33091946406639183,0.29923728943686,0.31312052794964984,0.7402468383312225
21,0.0005,0.1279564363991513,0.11729116058524917,0.10256228449882246,0.8180941360838273,0.3234839117678348,0.2927387452771654,0.3038128213607706,0.7277629163116217
22,0.0005,0.12502178790814736,0.11464655450453945,0.09961311694453745,0.8278423103631711,0.3271546052885242,0.2961206291482085,0.30659071550471706,0.7498075261712074
23,0.0005,0.12391604377212477,0.11353236389364682,0.0997181358728923,0.8237311431005889,0.3236083508876618,0.2929768148926087,0.3025536143570207,0.7523489914834499
24,0.00025,0.12347829407628845,0.11317797173179832,0.0988774701368575,0.8251509280765758,0.3300845468649641,0.2986940594739281,0.3101147768436931,0.7580224480479956
25,0.00025,0.11627695585290591,0.10675678110005808,0.0910614938018661,0.8280514952014474,0.324849419639213,0.2939075106260134,0.3056770420167595,0.7484126541763544
26,0.00025,0.11436992229930326,0.10505158176609114,0.08907344871584107,0.8219915908925673,0.3261722108814865,0.29537099109729753,0.30438870331272483,0.7247054949402809
27,0.00025,0.11287764532893312,0.10370621611090268,0.08758031741222914,0.8267957381173676,0.32726386542781255,0.2964160826406442,0.3047881604754366,0.7379376804456115
